instance_id,database,task_type,user_query,pipeline,rank,sql,ground_truth_sql,exact_match,sql_exec_error,avg_token_logprob,min_token_logprob,std_token_logprob,sql_token_count,interpretation_id,interpretation_text,ambiguities_found
alien_1,alien,select,"I want to analyze how the signal quality varies across different atmospheric conditions. For each condition, give condition name, the average quality value, the median quality value, and count how many usable signals there are. Sort the result by average value.",INTERPRET_SAMPLE,1,"WITH SignalQuality AS (
    SELECT 
        o.weathprofile,
        s.sigstrdb,
        sp.falseposprob
    FROM 
        observatories o
    JOIN 
        telescopes t ON o.observstation = t.observstation
    JOIN 
        signals s ON t.telescregistry = s.telescref
    JOIN 
        signalprobabilities sp ON s.signalregistry = sp.signalref
)
SELECT 
    weathprofile,
    AVG(sigstrdb) AS average_quality_value,
    PERCENTILE_CONT(0.5) WITHIN GROUP (ORDER BY sigstrdb) AS median_quality_value,
    COUNT(*) FILTER (WHERE falseposprob < 0.01) AS usable_signals_count
FROM 
    SignalQuality
GROUP BY 
    weathprofile
ORDER BY 
    average_quality_value;","WITH signal_quality AS (
    SELECT 
        s.SignalRegistry,
        s.SnrRatio - 0.1 * ABS(s.NoiseFloorDbm) AS SNQI,
        o.WeathProfile
    FROM Signals s
    JOIN Telescopes t ON s.TelescRef = t.TelescRegistry
    JOIN Observatories o ON t.ObservStation = o.ObservStation
)
SELECT 
    WeathProfile,
    AVG(SNQI) AS avg_snqi,
    PERCENTILE_CONT(0.5) WITHIN GROUP (ORDER BY SNQI) AS median_snqi,
    COUNT(*) FILTER (WHERE SNQI > 0) AS analyzable_signals
FROM signal_quality
GROUP BY WeathProfile
ORDER BY avg_snqi DESC;",False,,-0.01580096103228631,-0.415113627910614,0.059969816057402446,176,1,"Analyze how the signal quality varies across different weather profiles. For each weather profile, calculate the average signal strength (sigstrdb), the median signal strength (sigstrdb), and count how many usable signals (falseposprob < 0.01). Sort the results by the average signal strength.","condition name: Group by weathprofile / Group by a combination of airtempc, humidityrate, windspeedms | average quality value: Use sigstrdb as the quality metric / Use snrratio as the quality metric | median quality value: Calculate median of sigstrdb / Calculate median of snrratio | count how many usable signals: Count signals with falseposprob < 0.01 / Count all signals without filtering | sort the result by average value: Sort by average of sigstrdb / Sort by average of snrratio"
alien_1,alien,select,"I want to analyze how the signal quality varies across different atmospheric conditions. For each condition, give condition name, the average quality value, the median quality value, and count how many usable signals there are. Sort the result by average value.",INTERPRET_SAMPLE,2,"WITH SignalQuality AS (
    SELECT 
        o.weathprofile,
        s.sigstrdb,
        s.snrratio,
        sp.falseposprob
    FROM 
        observatories o
    JOIN 
        telescopes t ON o.observstation = t.observstation
    JOIN 
        signals s ON t.telescregistry = s.telescref
    JOIN 
        signalprobabilities sp ON s.signalregistry = sp.signalref
)
SELECT 
    weathprofile,
    AVG(sigstrdb) AS average_quality_value,
    PERCENTILE_CONT(0.5) WITHIN GROUP (ORDER BY snrratio) AS median_quality_value,
    COUNT(*) FILTER (WHERE falseposprob < 0.01) AS usable_signals_count
FROM 
    SignalQuality
GROUP BY 
    weathprofile
ORDER BY 
    average_quality_value;","WITH signal_quality AS (
    SELECT 
        s.SignalRegistry,
        s.SnrRatio - 0.1 * ABS(s.NoiseFloorDbm) AS SNQI,
        o.WeathProfile
    FROM Signals s
    JOIN Telescopes t ON s.TelescRef = t.TelescRegistry
    JOIN Observatories o ON t.ObservStation = o.ObservStation
)
SELECT 
    WeathProfile,
    AVG(SNQI) AS avg_snqi,
    PERCENTILE_CONT(0.5) WITHIN GROUP (ORDER BY SNQI) AS median_snqi,
    COUNT(*) FILTER (WHERE SNQI > 0) AS analyzable_signals
FROM signal_quality
GROUP BY WeathProfile
ORDER BY avg_snqi DESC;",False,,-0.018127780945405823,-0.8019517660140991,0.08245494107871267,182,2,"Analyze how the signal quality varies across different weather profiles. For each weather profile, calculate the average signal strength (sigstrdb), the median signal-to-noise ratio (snrratio), and count how many usable signals (falseposprob < 0.01). Sort the results by the average signal strength.","condition name: Group by weathprofile / Group by a combination of airtempc, humidityrate, windspeedms | average quality value: Use sigstrdb as the quality metric / Use snrratio as the quality metric | median quality value: Calculate median of sigstrdb / Calculate median of snrratio | count how many usable signals: Count signals with falseposprob < 0.01 / Count all signals without filtering | sort the result by average value: Sort by average of sigstrdb / Sort by average of snrratio"
alien_1,alien,select,"I want to analyze how the signal quality varies across different atmospheric conditions. For each condition, give condition name, the average quality value, the median quality value, and count how many usable signals there are. Sort the result by average value.",INTERPRET_SAMPLE,3,"WITH SignalQuality AS (
    SELECT 
        o.weathprofile,
        s.snrratio,
        s.sigstrdb,
        COUNT(s.signalregistry) AS usable_signals
    FROM 
        observatories o
    JOIN 
        telescopes t ON o.observstation = t.observstation
    JOIN 
        signals s ON t.telescregistry = s.telescref
    JOIN 
        signalprobabilities sp ON s.signalregistry = sp.signalref
    WHERE 
        sp.falseposprob < 0.01
    GROUP BY 
        o.weathprofile, s.snrratio, s.sigstrdb
),
AggregatedQuality AS (
    SELECT 
        weathprofile,
        AVG(snrratio) AS avg_quality,
        PERCENTILE_CONT(0.5) WITHIN GROUP (ORDER BY sigstrdb) AS median_quality,
        SUM(usable_signals) AS total_usable_signals
    FROM 
        SignalQuality
    GROUP BY 
        weathprofile
)
SELECT 
    weathprofile,
    avg_quality,
    median_quality,
    total_usable_signals
FROM 
    AggregatedQuality
ORDER BY 
    avg_quality;","WITH signal_quality AS (
    SELECT 
        s.SignalRegistry,
        s.SnrRatio - 0.1 * ABS(s.NoiseFloorDbm) AS SNQI,
        o.WeathProfile
    FROM Signals s
    JOIN Telescopes t ON s.TelescRef = t.TelescRegistry
    JOIN Observatories o ON t.ObservStation = o.ObservStation
)
SELECT 
    WeathProfile,
    AVG(SNQI) AS avg_snqi,
    PERCENTILE_CONT(0.5) WITHIN GROUP (ORDER BY SNQI) AS median_snqi,
    COUNT(*) FILTER (WHERE SNQI > 0) AS analyzable_signals
FROM signal_quality
GROUP BY WeathProfile
ORDER BY avg_snqi DESC;",False,,-0.026347197410780815,-0.9351167678833008,0.10305517721479787,249,3,"Analyze how the signal quality varies across different atmospheric conditions defined by air temperature, humidity rate, and wind speed. For each condition, calculate the average signal-to-noise ratio (snrratio), the median signal strength (sigstrdb), and count all signals. Sort the results by the average signal-to-noise ratio.","condition name: Group by weathprofile / Group by a combination of airtempc, humidityrate, windspeedms | average quality value: Use sigstrdb as the quality metric / Use snrratio as the quality metric | median quality value: Calculate median of sigstrdb / Calculate median of snrratio | count how many usable signals: Count signals with falseposprob < 0.01 / Count all signals without filtering | sort the result by average value: Sort by average of sigstrdb / Sort by average of snrratio"
alien_1,alien,select,"I want to analyze how the signal quality varies across different atmospheric conditions. For each condition, give condition name, the average quality value, the median quality value, and count how many usable signals there are. Sort the result by average value.",INTERPRET_SAMPLE,4,"WITH UsableSignals AS (
    SELECT s.signalregistry, s.snrratio, o.weathprofile
    FROM signals s
    JOIN observationalconditions oc ON s.signalregistry = oc.signalref
    JOIN signalprobabilities sp ON s.signalregistry = sp.signalref
    JOIN telescopes t ON s.telescref = t.telescregistry
    JOIN observatories o ON t.observstation = o.observstation
    WHERE sp.falseposprob < 0.01
),
Aggregated AS (
    SELECT weathprofile,
           AVG(snrratio) AS avg_quality,
           PERCENTILE_CONT(0.5) WITHIN GROUP (ORDER BY snrratio) AS median_quality,
           COUNT(*) AS usable_signal_count
    FROM UsableSignals
    GROUP BY weathprofile
)
SELECT weathprofile, avg_quality, median_quality, usable_signal_count
FROM Aggregated
ORDER BY avg_quality;","WITH signal_quality AS (
    SELECT 
        s.SignalRegistry,
        s.SnrRatio - 0.1 * ABS(s.NoiseFloorDbm) AS SNQI,
        o.WeathProfile
    FROM Signals s
    JOIN Telescopes t ON s.TelescRef = t.TelescRegistry
    JOIN Observatories o ON t.ObservStation = o.ObservStation
)
SELECT 
    WeathProfile,
    AVG(SNQI) AS avg_snqi,
    PERCENTILE_CONT(0.5) WITHIN GROUP (ORDER BY SNQI) AS median_snqi,
    COUNT(*) FILTER (WHERE SNQI > 0) AS analyzable_signals
FROM signal_quality
GROUP BY WeathProfile
ORDER BY avg_snqi DESC;",False,,-0.025645400880533076,-0.8621851801872253,0.11256671191393466,194,4,"Analyze how the signal quality varies across different atmospheric conditions defined by air temperature, humidity rate, and wind speed. For each condition, calculate the average signal-to-noise ratio (snrratio), the median signal-to-noise ratio (snrratio), and count how many usable signals (falseposprob < 0.01). Sort the results by the average signal-to-noise ratio.","condition name: Group by weathprofile / Group by a combination of airtempc, humidityrate, windspeedms | average quality value: Use sigstrdb as the quality metric / Use snrratio as the quality metric | median quality value: Calculate median of sigstrdb / Calculate median of snrratio | count how many usable signals: Count signals with falseposprob < 0.01 / Count all signals without filtering | sort the result by average value: Sort by average of sigstrdb / Sort by average of snrratio"
archeology_1,archeology,select,"I'd like to see a quality assessment of scans across our archaeological sites. Show site code, site name, scan quality for each site and rank them.",INTERPRET_SAMPLE,1,"WITH site_quality AS (
    SELECT 
        s.zoneregistry,
        s.zonelabel,
        qc.accucheck
    FROM 
        sites s
    LEFT JOIN 
        scanqc qc ON s.zoneregistry = qc.zoneref
)
SELECT 
    zoneregistry, 
    zonelabel, 
    accucheck
FROM 
    site_quality
ORDER BY 
    accucheck;","SELECT
    s.zoneref AS site_code,
    si.zonelabel AS site_name,
    ROUND(
        AVG(
            POWER(10.0 / (LOG(10, spc.scanresolmm * 1000.0) / LOG(10, spc.pointdense)) * 5.0, 1.5) *
            (spc.coverpct / 100.0) *
            POWER(1.0 - spc.noisedb / 30.0, 2)
        ),
        2
    ) AS avg_sqs
FROM scans s
JOIN scanpointcloud spc ON s.arcref = spc.arcref
JOIN sites si ON s.zoneref = si.zoneregistry
GROUP BY s.zoneref, si.zonelabel
ORDER BY avg_sqs DESC;",False,"column qc.zoneref does not exist
LINE 1: ...M sites s LEFT JOIN scanqc qc ON s.zoneregistry = qc.zoneref...
                                                             ^
",-0.04674325017118452,-0.8954225182533264,0.175129501914995,87,1,"Select the site code and site name from the sites table, along with the accuracy assessment (accucheck) from the scanqc table for each site. Rank the results by accucheck and display them as a list, including all archaeological sites.",scan quality: accucheck / ctrlstate / valiState | rank them: by accucheck / by ctrlstate / by valiState | across our archaeological sites: include all sites / include only sites with critical preservation status / include only sites with completed scans | show: show as a list / show as a summary table / show with detailed metrics
archeology_1,archeology,select,"I'd like to see a quality assessment of scans across our archaeological sites. Show site code, site name, scan quality for each site and rank them.",INTERPRET_SAMPLE,2,"WITH site_quality AS (
    SELECT 
        s.zoneregistry,
        s.zonelabel,
        qc.ctrlstate
    FROM 
        sites s
    JOIN 
        scanqc qc ON s.zoneregistry = qc.zoneref
    WHERE 
        s.presstat = 'Critical'
)
SELECT 
    zoneregistry,
    zonelabel,
    ctrlstate
FROM 
    site_quality
ORDER BY 
    ctrlstate;","SELECT
    s.zoneref AS site_code,
    si.zonelabel AS site_name,
    ROUND(
        AVG(
            POWER(10.0 / (LOG(10, spc.scanresolmm * 1000.0) / LOG(10, spc.pointdense)) * 5.0, 1.5) *
            (spc.coverpct / 100.0) *
            POWER(1.0 - spc.noisedb / 30.0, 2)
        ),
        2
    ) AS avg_sqs
FROM scans s
JOIN scanpointcloud spc ON s.arcref = spc.arcref
JOIN sites si ON s.zoneref = si.zoneregistry
GROUP BY s.zoneref, si.zonelabel
ORDER BY avg_sqs DESC;",False,"column qc.zoneref does not exist
LINE 1: ...e FROM sites s JOIN scanqc qc ON s.zoneregistry = qc.zoneref...
                                                             ^
",-0.04252321194304626,-0.8478776812553406,0.15709206879786816,94,2,"Select the site code and site name from the sites table, along with the quality control status (ctrlstate) from the scanqc table for each site. Rank the results by ctrlstate and display them in a summary table, including only sites with critical preservation status.",scan quality: accucheck / ctrlstate / valiState | rank them: by accucheck / by ctrlstate / by valiState | across our archaeological sites: include all sites / include only sites with critical preservation status / include only sites with completed scans | show: show as a list / show as a summary table / show with detailed metrics
archeology_1,archeology,select,"I'd like to see a quality assessment of scans across our archaeological sites. Show site code, site name, scan quality for each site and rank them.",INTERPRET_SAMPLE,3,"WITH ScanQuality AS (
    SELECT s.zoneregistry, s.zonelabel, qc.valiState
    FROM sites s
    JOIN scans sc ON s.zoneregistry = sc.zoneref
    JOIN scanqc qc ON sc.arcref = qc.arcref
    WHERE qc.valiState IS NOT NULL
)
SELECT zoneregistry, zonelabel, valiState
FROM ScanQuality
ORDER BY valiState;","SELECT
    s.zoneref AS site_code,
    si.zonelabel AS site_name,
    ROUND(
        AVG(
            POWER(10.0 / (LOG(10, spc.scanresolmm * 1000.0) / LOG(10, spc.pointdense)) * 5.0, 1.5) *
            (spc.coverpct / 100.0) *
            POWER(1.0 - spc.noisedb / 30.0, 2)
        ),
        2
    ) AS avg_sqs
FROM scans s
JOIN scanpointcloud spc ON s.arcref = spc.arcref
JOIN sites si ON s.zoneref = si.zoneregistry
GROUP BY s.zoneref, si.zonelabel
ORDER BY avg_sqs DESC;",False,,-0.03986723071979851,-1.0895024538040161,0.1592695421759869,93,3,"Select the site code and site name from the sites table, along with the validation status (valiState) from the scanqc table for each site. Rank the results by valiState and display them with detailed metrics, including only sites with completed scans.",scan quality: accucheck / ctrlstate / valiState | rank them: by accucheck / by ctrlstate / by valiState | across our archaeological sites: include all sites / include only sites with critical preservation status / include only sites with completed scans | show: show as a list / show as a summary table / show with detailed metrics
cross_db_1,cross_db,select,"List the top 5 high-risk data flows, showing each flows ID, risk score, and data sensitivity. Sort by data sensitivity.",INTERPRET_SAMPLE,1,"WITH HighRiskDataFlows AS (
    SELECT 
        df.recordregistry,
        rm.riskassess,
        dp.datasense
    FROM 
        dataflow df
    JOIN 
        riskmanagement rm ON df.recordregistry = rm.flowlink
    JOIN 
        dataprofile dp ON df.recordregistry = dp.flowsign
    WHERE 
        rm.riskassess > 80
)
SELECT 
    recordregistry, 
    riskassess, 
    datasense
FROM 
    HighRiskDataFlows
ORDER BY 
    datasense
LIMIT 5;","WITH HighRiskFlows AS (
    SELECT 
        df.RecordRegistry, 
        COALESCE(rm.RiskAssess / NULLIF(rm.CtrlEff, 0), 0) AS res, 
        COALESCE(dp.VolGB, 0) * 
            CASE 
                WHEN dp.DataSense = 'High' THEN 3 
                WHEN dp.DataSense = 'Medium' THEN 2 
                ELSE 1 
            END AS dsi
    FROM DataFlow df
    LEFT JOIN RiskManagement rm 
        ON df.RecordRegistry = rm.FlowLink
    LEFT JOIN DataProfile dp 
        ON df.RecordRegistry = dp.FlowSign
    WHERE COALESCE(rm.RiskAssess / NULLIF(rm.CtrlEff, 0), 0) > 0.7 
        AND COALESCE(dp.VolGB, 0) * 
            CASE 
                WHEN dp.DataSense = 'High' THEN 3 
                WHEN dp.DataSense = 'Medium' THEN 2 
                ELSE 1 
            END > 100
),
RankedFlows AS (
    SELECT 
        RecordRegistry, 
        res, 
        dsi, 
        RANK() OVER (ORDER BY dsi DESC) AS volume_rank
    FROM HighRiskFlows
)
SELECT 
    RecordRegistry, 
    ROUND(res::numeric, 2) AS risk_exposure_score, 
    ROUND(dsi::numeric, 2) AS data_sensitivity_index
FROM RankedFlows
WHERE volume_rank <= 5
ORDER BY volume_rank
LIMIT 5;",False,,-0.01635871568120228,-0.6931955814361572,0.08219390498012759,119,1,"Select the top 5 high-risk data flows where riskassess is greater than 80, showing each flow's ID as recordregistry, risk score as riskassess, and data sensitivity as datasense. Sort the results by data sensitivity.",high-risk data flows: riskassess > 80 / riskassess > 70 | data sensitivity: datasense / datatype | top 5: highest risk scores / lowest risk scores | showing each flow's ID: recordregistry / flowtag
cross_db_1,cross_db,select,"List the top 5 high-risk data flows, showing each flows ID, risk score, and data sensitivity. Sort by data sensitivity.",INTERPRET_SAMPLE,2,"WITH HighRiskDataFlows AS (
    SELECT 
        df.flowtag,
        rm.riskassess,
        dp.datasense
    FROM 
        dataflow df
    JOIN 
        riskmanagement rm ON df.recordregistry = rm.flowlink
    JOIN 
        dataprofile dp ON df.recordregistry = dp.flowsign
    WHERE 
        rm.riskassess > 70
)
SELECT 
    flowtag,
    riskassess,
    datasense
FROM 
    HighRiskDataFlows
ORDER BY 
    datasense
LIMIT 5;","WITH HighRiskFlows AS (
    SELECT 
        df.RecordRegistry, 
        COALESCE(rm.RiskAssess / NULLIF(rm.CtrlEff, 0), 0) AS res, 
        COALESCE(dp.VolGB, 0) * 
            CASE 
                WHEN dp.DataSense = 'High' THEN 3 
                WHEN dp.DataSense = 'Medium' THEN 2 
                ELSE 1 
            END AS dsi
    FROM DataFlow df
    LEFT JOIN RiskManagement rm 
        ON df.RecordRegistry = rm.FlowLink
    LEFT JOIN DataProfile dp 
        ON df.RecordRegistry = dp.FlowSign
    WHERE COALESCE(rm.RiskAssess / NULLIF(rm.CtrlEff, 0), 0) > 0.7 
        AND COALESCE(dp.VolGB, 0) * 
            CASE 
                WHEN dp.DataSense = 'High' THEN 3 
                WHEN dp.DataSense = 'Medium' THEN 2 
                ELSE 1 
            END > 100
),
RankedFlows AS (
    SELECT 
        RecordRegistry, 
        res, 
        dsi, 
        RANK() OVER (ORDER BY dsi DESC) AS volume_rank
    FROM HighRiskFlows
)
SELECT 
    RecordRegistry, 
    ROUND(res::numeric, 2) AS risk_exposure_score, 
    ROUND(dsi::numeric, 2) AS data_sensitivity_index
FROM RankedFlows
WHERE volume_rank <= 5
ORDER BY volume_rank
LIMIT 5;",False,,-0.017243675149067945,-0.5763404965400696,0.08554345288530744,117,2,"Select the top 5 high-risk data flows where riskassess is greater than 70, showing each flow's ID as flowtag, risk score as riskassess, and data sensitivity as datasense. Sort the results by data sensitivity.",high-risk data flows: riskassess > 80 / riskassess > 70 | data sensitivity: datasense / datatype | top 5: highest risk scores / lowest risk scores | showing each flow's ID: recordregistry / flowtag
cross_db_1,cross_db,select,"List the top 5 high-risk data flows, showing each flows ID, risk score, and data sensitivity. Sort by data sensitivity.",INTERPRET_SAMPLE,3,"WITH HighRiskDataFlows AS (
    SELECT 
        df.recordregistry,
        rm.riskassess,
        dp.datatype
    FROM 
        dataflow df
    JOIN 
        riskmanagement rm ON df.recordregistry = rm.flowlink
    JOIN 
        dataprofile dp ON df.recordregistry = dp.flowsign
    WHERE 
        rm.riskassess > 80
)
SELECT 
    recordregistry, 
    riskassess, 
    datatype
FROM 
    HighRiskDataFlows
ORDER BY 
    datatype
LIMIT 5;","WITH HighRiskFlows AS (
    SELECT 
        df.RecordRegistry, 
        COALESCE(rm.RiskAssess / NULLIF(rm.CtrlEff, 0), 0) AS res, 
        COALESCE(dp.VolGB, 0) * 
            CASE 
                WHEN dp.DataSense = 'High' THEN 3 
                WHEN dp.DataSense = 'Medium' THEN 2 
                ELSE 1 
            END AS dsi
    FROM DataFlow df
    LEFT JOIN RiskManagement rm 
        ON df.RecordRegistry = rm.FlowLink
    LEFT JOIN DataProfile dp 
        ON df.RecordRegistry = dp.FlowSign
    WHERE COALESCE(rm.RiskAssess / NULLIF(rm.CtrlEff, 0), 0) > 0.7 
        AND COALESCE(dp.VolGB, 0) * 
            CASE 
                WHEN dp.DataSense = 'High' THEN 3 
                WHEN dp.DataSense = 'Medium' THEN 2 
                ELSE 1 
            END > 100
),
RankedFlows AS (
    SELECT 
        RecordRegistry, 
        res, 
        dsi, 
        RANK() OVER (ORDER BY dsi DESC) AS volume_rank
    FROM HighRiskFlows
)
SELECT 
    RecordRegistry, 
    ROUND(res::numeric, 2) AS risk_exposure_score, 
    ROUND(dsi::numeric, 2) AS data_sensitivity_index
FROM RankedFlows
WHERE volume_rank <= 5
ORDER BY volume_rank
LIMIT 5;",False,,-0.025679381340606183,-0.6932374238967896,0.10297921516634444,117,3,"Select the top 5 high-risk data flows where riskassess is greater than 80, showing each flow's ID as recordregistry, risk score as riskassess, and data sensitivity as datatype. Sort the results by data sensitivity in ascending order.",high-risk data flows: riskassess > 80 / riskassess > 70 | data sensitivity: datasense / datatype | top 5: highest risk scores / lowest risk scores | showing each flow's ID: recordregistry / flowtag
